department,college,concept
Litigation and dispute resolution,college of law,dispute resolution
Litigation and dispute resolution,college of law,litigation
Applied business studies,college of management,applied business
Applied business studies,college of management,business studies
"Special education, school psychology and early childhood studies",college of education,early childhood studies
"Special education, school psychology and early childhood studies",college of education,school psychology
"Special education, school psychology and early childhood studies",college of education,special education
Ear 203 - earth system science,college of natural sciences,earth system science
Medical lab science,college of health sciences,medical lab science
Master of science in management (msm),college of business,management
Creative writing & literary arts,college of arts,creative writing
Creative writing & literary arts,college of arts,literary arts
Urban and regional planning,college of humanities,regional planning
Urban and regional planning,college of humanities,urban planning
Bs-real estate/master of business administration (bs-re/mba),college of management,business administration
Bs-real estate/master of business administration (bs-re/mba),college of management,real estate
Pharmacology and experimental neuroscience,college of medicine,experimental neuroscience
Pharmacology and experimental neuroscience,college of medicine,pharmacology
Health services policy & management (hspm),college of public health,health management
Health services policy & management (hspm),college of public health,health services policy
Public health (ph),college of public health,public health
B.s.b.a. in innovation leadership and entrepreneurship,college of business,entrepreneurship
B.s.b.a. in innovation leadership and entrepreneurship,college of business,innovation leadership
"B.a., english: language and literature",college of humanities,english
"B.a., english: language and literature",college of humanities,language
"B.a., english: language and literature",college of humanities,literature
Liberal studies,college of education,liberal studies
Modern languages and literatures,college of arts,literatures
Modern languages and literatures,college of arts,modern languages
No. 7 special education,college of education,special education
Women's and gender studies: bs; minor,college of social sciences,gender studies
Women's and gender studies: bs; minor,college of social sciences,women's studies
"Neuroscience linda j. richards, phd",college of medicine,neuroscience
Communications studies & modern languages,college of humanities,communications studies
Communications studies & modern languages,college of humanities,modern languages
French and italian,college of humanities,French
French and italian,college of humanities,Italian
French and italian,college of humanities,language studies
French and italian,college of humanities,literature
Rhetoric & composition,college of humanities,composition
Rhetoric & composition,college of humanities,rhetoric
Nursing science (phd),college of health sciences,nursing science
Commercial law,college of law,commercial law
W wisconsin institute of neuroscience (wins),college of medicine,neuroscience
"Molecular microbiology sean whelan, phd",college of medicine,molecular microbiology
Social work certificate,college of health sciences,social work
"Management, marketing and general business",college of management,business
"Management, marketing and general business",college of management,management
"Management, marketing and general business",college of management,marketing
Obstetrics & gynecology,college of medicine,gynecology
Obstetrics & gynecology,college of medicine,obstetrics
"Health sciences, b.s - speech-language pathology concentration",college of health sciences,health sciences
"Health sciences, b.s - speech-language pathology concentration",college of health sciences,speech-language pathology
"Environment, ecology and energy program (curriculum)",college of natural sciences,ecology
"Environment, ecology and energy program (curriculum)",college of natural sciences,energy
"Environment, ecology and energy program (curriculum)",college of natural sciences,environment
Music and theatre arts,college of arts,music
Music and theatre arts,college of arts,theatre arts
"Educational leadership, research and technology",college of education,educational leadership
"Educational leadership, research and technology",college of education,educational research
"Educational leadership, research and technology",college of education,educational technology
Bachelor of nursing (bsn),college of nursing,nursing
Mathematics and physics,college of health sciences,mathematics
Mathematics and physics,college of health sciences,physics
Public services,college of law,public services
Asian and comparative law ll.m.,college of law,Asian law
Asian and comparative law ll.m.,college of law,comparative law
B.s. in decision science,college of social sciences,decision science
