conference_journal,conference_topic,extracted_concept
abortion,Reproductive justice and abortion rights,abortion rights
abortion,Reproductive justice and abortion rights,reproductive justice
abortion,Moral conflict and abortion ethics,abortion ethics
abortion,Moral conflict and abortion ethics,moral conflict
abortion,Religious perspectives on abortion,religious studies
accounting information systems,Using data-driven methods to detect financial statement fraud in the real scenario,financial statement fraud detection
accounting information systems,Board roles required for it governance to become an integral component of corporate governance,corporate governance
accounting information systems,Does cybersecurity maturity level assurance improve cybersecurity risk management in supply chains?,cybersecurity
accounting information systems,Artificial intelligence co-piloted auditing,artificial intelligence
accounting information systems,Artificial intelligence co-piloted auditing,auditing
achilles tendon ruptures,A classification of achilles tendon disease,orthopedics
acoustic analysis,Full frequency band vibro-acoustic analysis of a sandwich composite structure,composite structures
acoustic analysis,Full frequency band vibro-acoustic analysis of a sandwich composite structure,vibro-acoustics
acoustic analysis,Acoustic analysis of structures with local nonlinear behaviour,acoustics
acoustic analysis,Acoustic analysis of structures with local nonlinear behaviour,nonlinear dynamics
acoustic analysis,Methods and techniques for voice analysis.,speech processing
acoustic analysis,Methods and techniques for voice analysis.,voice analysis
acoustic analysis,New technological and computational perspectives on voice analysis.,computational acoustics
acoustic analysis,New technological and computational perspectives on voice analysis.,voice analysis
acoustics,Harnessing topology in acoustics: advances in sound control and manipulation,sound control
acoustics,Harnessing topology in acoustics: advances in sound control and manipulation,topology
acoustics,Special issue: bayesian methods in acoustical science and engineering,acoustical science
acoustics,Special issue: bayesian methods in acoustical science and engineering,bayesian methods
acoustics,Special issue: bayesian methods in acoustical science and engineering,acoustical engineering
acoustics,"Special issue: advanced air mobility noise: predictions, measurements, and perception",noise measurement
acoustics,"Special issue: advanced air mobility noise: predictions, measurements, and perception",air mobility noise
acoustics,"Special issue: advanced air mobility noise: predictions, measurements, and perception",noise prediction
acoustics,"Special issue: sound absorption and diffusion: modeling, measurement and application",sound diffusion
acoustics,"Special issue: sound absorption and diffusion: modeling, measurement and application",sound absorption
acoustics,Special issue: active and tunable acoustic metamaterials,acoustic metamaterials
acoustics,Ultrasonics in the brain,ultrasonics
acoustics,Ultrasonics in the brain,neuroacoustics
acoustics,Immersive audio and soundscape design,soundscape design
acoustics,Immersive audio and soundscape design,immersive audio
acoustics,Ai and machine learning in acoustic signal processing,machine learning
acoustics,Ai and machine learning in acoustic signal processing,artificial intelligence
acoustics,Ai and machine learning in acoustic signal processing,acoustic signal processing
acoustics,Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,environmental noise
acoustics,Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,questionnaires
acoustics,Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,protocols
acquired apraxia of speech,Phoneme distortions and distorted substitutions or additions,phonetics
acquired apraxia of speech,Reduced overall speech rate,speech production
acquired apraxia of speech,"Syllable segregation with extended intra- and intersegmental durations, and",phonetics
acquired apraxia of speech,"Syllable segregation with extended intra- and intersegmental durations, and",speech timing
acquired apraxia of speech,Voicing errors (blurred distinctions between boundaries of voiced–voiceless consonants),speech production
acquired apraxia of speech,Voicing errors (blurred distinctions between boundaries of voiced–voiceless consonants),phonetics
acquired apraxia of speech,Prolonged phonemes,speech production
acquired apraxia of speech,Prolonged phonemes,phonetics
acquired apraxia of speech,"Telescoping of syllables (e.g., “disaur” instead of “dinosaur”)",speech production
acquired apraxia of speech,Alternating motion rates (amrs) that may be characterized by place or manner errors,speech motor control
acquired apraxia of speech,Alternating motion rates (amrs) that may be characterized by place or manner errors,phonetics
acquired apraxia of speech,Poorly sequenced sequential motion rates (smrs),speech motor control
acquired neurogenic communication disorders,Aas with people with cognitive–communication disorders,cognitive communication
acquired neurogenic communication disorders,Aas with people with aphasia,aphasia
acquired neurogenic communication disorders,Aas with people with apraxia of speech,apraxia of speech
acquired neurogenic communication disorders,Aas with people with a variety of acquired neurogenic speech–language diagnoses,speech and language disorders
acquired neurogenic communication disorders,Experiences of speech and language therapists implementing and delivering aas,language therapy
acquired neurogenic communication disorders,Experiences of speech and language therapists implementing and delivering aas,speech therapy
acute lung injury,Acute lung injury (ali),acute lung injury
acute lung injury,Acute respiratory distress syndrome (ards),acute respiratory distress syndrome
acute lung injury,"Trauma, cell death and organ injury",cell death
acute lung injury,"Trauma, cell death and organ injury",organ injury
acute lung injury,"Trauma, cell death and organ injury",trauma
adapted curriculum,Adapted science units special education social studies curriculum special ed,special education
adapted curriculum,Adapted science units special education social studies curriculum special ed,social studies education
adapted curriculum,Adapted science units special education social studies curriculum special ed,science education
adapted curriculum,Full year ela curriculum for special education adapted ela yearlong curriculum,special education
adapted curriculum,Full year ela curriculum for special education adapted ela yearlong curriculum,english language arts
adapted curriculum,Adapting curriculum - strategies to differentiate instruction and meet udl,universal design for learning
adapted curriculum,Adapting curriculum - strategies to differentiate instruction and meet udl,differentiated instruction
adapted curriculum,Special education adapted books year long curriculum bundle low prep,special education
adapted curriculum,Habitats animal adapted science units special education curriculum science sped,special education
adapted curriculum,Habitats animal adapted science units special education curriculum science sped,animal science
adapted curriculum,Habitats animal adapted science units special education curriculum science sped,science education
adapted curriculum,Chemistry curriculum adapted science units special education science experiments,chemistry
adapted curriculum,"Us history social studies: adapted esl newcomer texts, activities, curriculum",social studies
adapted curriculum,"Us history social studies: adapted esl newcomer texts, activities, curriculum",history
adapted curriculum,40 adapted science units special education elementary science curriculum bundle,science education
adapted curriculum,Special education curriculum special ed reading special ed math curriculum adapt,mathematics education
